file_ID,author,lab,label,particle_type,run_oldID,setup,phi (-),d (m),rho_p (kg/m3),v_s (m/s),alpha (deg.),rho_a (kg/m3),rho_f (kg/m3),nu_f (kg/(m.s)),nu_a (kg/(m.s)),T_a (deg. celsius),T_f (deg. celsius),L0 (m),W0 (m),H0 (m),H_a (m),L_1 (m),vs (m/s),rho_c (kg/m3),gprime (m/s2),u0 (m/s),a (-),Re (-),At (-),St (-),Fr (-),L (-)
run_038.nc,Cyril,IMFT,run_038.nc,silica sand,Slope1 -- manip14,IMFT,6.756e-03,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.009e+03,1.097e-01,1.494e-01,2.056e+00,3.070e+04,1.118e-02,8.114e-02,4.898e-01,1.404e-02
run_039.nc,Cyril,IMFT,run_039.nc,silica sand,Slope1 -- manip15,IMFT,1.255e-01,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.205e+03,2.037e+00,6.440e-01,2.056e+00,1.580e+05,2.077e-01,1.883e-02,3.181e-01,-2.964e-03
run_040.nc,Cyril,IMFT,run_040.nc,silica sand,Slope1 -- manip16,IMFT,4.826e-03,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.006e+03,7.836e-02,1.263e-01,2.056e+00,2.587e+04,7.988e-03,9.601e-02,4.034e-01,9.648e-03
run_041.nc,Cyril,IMFT,run_041.nc,silica sand,Slope1 -- manip17,IMFT,2.944e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.047e+03,4.780e-01,3.119e-01,2.056e+00,6.647e+04,4.873e-02,3.887e-02,3.555e-01,-9.352e-04
run_042.nc,Cyril,IMFT,run_042.nc,silica sand,Slope1 -- manip18,IMFT,2.944e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.047e+03,4.780e-01,3.119e-01,2.056e+00,6.647e+04,4.873e-02,3.887e-02,3.095e-01,-2.233e-03
run_043.nc,Cyril,IMFT,run_043.nc,silica sand,Slope1 -- manip19,IMFT,1.544e-01,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.253e+03,2.508e+00,7.145e-01,2.056e+00,1.823e+05,2.556e-01,1.697e-02,3.571e-01,1.351e-04
run_044.nc,Cyril,IMFT,run_044.nc,silica sand,Slope3 -- manip01,IMFT,2.064e-02,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.032e+03,3.352e-01,2.619e-01,2.067e+00,5.531e+04,3.417e-02,4.630e-02,4.594e-01,8.992e-03
run_045.nc,Cyril,IMFT,run_045.nc,silica sand,Slope3 -- manip02,IMFT,2.064e-02,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.032e+03,3.352e-01,2.619e-01,2.067e+00,5.531e+04,3.417e-02,4.630e-02,3.583e-01,3.779e-04
run_046.nc,Cyril,IMFT,run_046.nc,silica sand,Slope3 -- manip03,IMFT,2.929e-02,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.046e+03,4.756e-01,3.119e-01,2.067e+00,6.679e+04,4.848e-02,3.887e-02,3.730e-01,5.002e-04
run_047.nc,Cyril,IMFT,run_047.nc,silica sand,Slope3 -- manip04,IMFT,4.033e-02,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.065e+03,6.549e-01,3.661e-01,2.067e+00,7.975e+04,6.676e-02,3.313e-02,3.038e-01,-5.297e-03
run_048.nc,Cyril,IMFT,run_048.nc,silica sand,Slope3 -- manip05,IMFT,4.993e-02,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.080e+03,8.108e-01,4.073e-01,2.067e+00,9.006e+04,8.265e-02,2.977e-02,3.060e-01,-4.556e-03
run_049.nc,Cyril,IMFT,run_049.nc,silica sand,Slope3 -- manip06,IMFT,8.642e-03,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.012e+03,1.403e-01,1.695e-01,2.067e+00,3.510e+04,1.430e-02,7.156e-02,3.759e-01,3.324e-03
run_050.nc,Cyril,IMFT,run_050.nc,silica sand,Slope3 -- manip07,IMFT,6.337e-02,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.103e+03,1.029e+00,4.589e-01,2.067e+00,1.035e+05,1.049e-01,2.643e-02,3.599e-01,-1.864e-03
run_051.nc,Cyril,IMFT,run_051.nc,silica sand,Slope3 -- manip08,IMFT,7.874e-02,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.128e+03,1.279e+00,5.115e-01,2.067e+00,1.181e+05,1.303e-01,2.371e-02,3.596e-01,-1.101e-03
run_052.nc,Cyril,IMFT,run_052.nc,silica sand,Slope3 -- manip09,IMFT,6.721e-03,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.009e+03,1.091e-01,1.494e-01,2.067e+00,3.086e+04,1.113e-02,8.114e-02,3.902e-01,6.081e-03
run_053.nc,Cyril,IMFT,run_053.nc,silica sand,Slope3 -- manip10,IMFT,3.649e-03,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.004e+03,5.925e-02,1.101e-01,2.067e+00,2.262e+04,6.040e-03,1.101e-01,3.778e-01,6.534e-03
run_054.nc,Cyril,IMFT,run_054.nc,silica sand,Slope3 -- manip11,IMFT,6.721e-03,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.009e+03,1.091e-01,1.494e-01,2.067e+00,3.086e+04,1.113e-02,8.114e-02,4.875e-01,1.216e-02
run_055.nc,Cyril,IMFT,run_055.nc,silica sand,Slope3 -- manip12,IMFT,6.721e-03,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.009e+03,1.091e-01,1.494e-01,2.067e+00,3.086e+04,1.113e-02,8.114e-02,4.066e-01,6.993e-03
run_056.nc,Cyril,IMFT,run_056.nc,silica sand,Slope3 -- manip13,IMFT,1.440e-02,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.022e+03,2.339e-01,2.188e-01,2.067e+00,4.574e+04,2.384e-02,5.543e-02,3.695e-01,5.442e-04
run_057.nc,Cyril,IMFT,run_057.nc,silica sand,Slope3 -- manip14,IMFT,1.008e-01,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.165e+03,1.637e+00,5.788e-01,2.067e+00,1.379e+05,1.669e-01,2.095e-02,3.700e-01,-7.772e-04
run_058.nc,Cyril,IMFT,run_058.nc,silica sand,Slope3 -- manip15,IMFT,1.248e-01,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.204e+03,2.027e+00,6.440e-01,2.067e+00,1.587e+05,2.066e-01,1.883e-02,3.619e-01,-9.325e-04
run_059.nc,Cyril,IMFT,run_059.nc,silica sand,Slope3 -- manip16,IMFT,1.008e-01,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.165e+03,1.637e+00,5.788e-01,2.067e+00,1.379e+05,1.669e-01,2.095e-02,3.789e-01,-3.527e-04
run_060.nc,Cyril,IMFT,run_060.nc,silica sand,Slope3 -- manip17,IMFT,1.008e-01,1.161e-04,2.650e+03,7.400e-03,2.830e+00,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.046e-01,nan,nan,1.213e-02,1.165e+03,1.637e+00,5.788e-01,2.067e+00,1.379e+05,1.669e-01,2.095e-02,3.451e-01,7.443e-04
