file_ID,author,lab,label,particle_type,run_oldID,setup,phi (-),d (m),rho_p (kg/m3),v_s (m/s),alpha (deg.),rho_a (kg/m3),rho_f (kg/m3),nu_f (kg/(m.s)),nu_a (kg/(m.s)),T_a (deg. celsius),T_f (deg. celsius),L0 (m),W0 (m),H0 (m),H_a (m),L_1 (m),vs (m/s),rho_c (kg/m3),gprime (m/s2),u0 (m/s),t0 (s),a (-),Re (-),At (-),St (-),Fr (-),lamb (-)
run_033.nc,Cyril,IMFT,run_033.nc,silica sand,Slope1 -- manip09,IMFT,1.013e-01,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.165e+03,1.646e+00,5.788e-01,1.711e-01,2.056e+00,1.373e+05,1.677e-01,2.095e-02,4.157e-01,3.673e-03
run_034.nc,Cyril,IMFT,run_034.nc,silica sand,Slope1 -- manip10,IMFT,6.756e-03,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.009e+03,1.097e-01,1.494e-01,6.625e-01,2.056e+00,3.070e+04,1.118e-02,8.115e-02,4.216e-01,1.053e-02
run_035.nc,Cyril,IMFT,run_035.nc,silica sand,Slope1 -- manip11,IMFT,1.013e-01,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.165e+03,1.646e+00,5.788e-01,1.711e-01,2.056e+00,1.373e+05,1.677e-01,2.095e-02,4.231e-01,3.306e-03
run_036.nc,Cyril,IMFT,run_036.nc,silica sand,Slope1 -- manip12,IMFT,1.013e-01,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.165e+03,1.646e+00,5.788e-01,1.711e-01,2.056e+00,1.373e+05,1.677e-01,2.095e-02,4.211e-01,8.636e-03
run_037.nc,Cyril,IMFT,run_037.nc,silica sand,Slope1 -- manip13,IMFT,6.756e-03,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.009e+03,1.097e-01,1.494e-01,6.625e-01,2.056e+00,3.070e+04,1.118e-02,8.115e-02,3.702e-01,8.834e-03
run_038.nc,Cyril,IMFT,run_038.nc,silica sand,Slope1 -- manip14,IMFT,6.756e-03,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.009e+03,1.097e-01,1.494e-01,6.625e-01,2.056e+00,3.070e+04,1.118e-02,8.115e-02,4.817e-01,1.320e-02
run_039.nc,Cyril,IMFT,run_039.nc,silica sand,Slope1 -- manip15,IMFT,1.255e-01,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.205e+03,2.037e+00,6.440e-01,1.537e-01,2.056e+00,1.580e+05,2.077e-01,1.883e-02,3.181e-01,-4.660e-03
run_040.nc,Cyril,IMFT,run_040.nc,silica sand,Slope1 -- manip16,IMFT,4.826e-03,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.006e+03,7.836e-02,1.263e-01,7.839e-01,2.056e+00,2.587e+04,7.988e-03,9.602e-02,4.034e-01,1.196e-02
run_041.nc,Cyril,IMFT,run_041.nc,silica sand,Slope1 -- manip17,IMFT,2.944e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.047e+03,4.780e-01,3.119e-01,3.174e-01,2.056e+00,6.646e+04,4.873e-02,3.888e-02,3.555e-01,-1.316e-03
run_042.nc,Cyril,IMFT,run_042.nc,silica sand,Slope1 -- manip18,IMFT,2.944e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.047e+03,4.780e-01,3.119e-01,3.174e-01,2.056e+00,6.646e+04,4.873e-02,3.888e-02,3.095e-01,-3.608e-03
